Entity
نوف العصفور
أبو حيان التوحيدي
فارع المسلمي
شادية ياسين
عبدالله عيسى
حسن مطلك
عبد الله النفيسي
حياة الحويك عطية
عبده خال
فريدة خلف
كاظم الداغستاني
صاعد البغدادي
حسين البشدري
علي باشا مبارك
عبد الوهاب الشعراني
حسين البحارنة
منجد المدرس
سيمون بيطون
مارون عبود
ستار جبر ناصر
عبد الله البرغوثي
هاني سرحان
عدنان عكاشة
حسين العبرى
إيليا أبو ماضي
أحمد هردي
فاضل السلطاني
سوسن دروزة
فيصل سعيد المطر
سند راشد دخيل
إغناطيوس يعقوب الثالث
علي فقندش
محمد صادق
محمد متولي الشعراوي
ريمون خوري
عبد الحسن زلزلة
أحمد إسماعيل سمتر
لوريس شحادة
حسن حسن
عمر عناز
حفصة زينات قوديل
مارون بغدادي
مو عامر
عصام العماد
أحمد جمال الدين موسى
سمير فرحات
إيمان النفجان
بيومى قنديل
آيات القرمزي
أحمد بدرخان
