Entity
سارا ديفيدسون
تيفاني تافرنيي
جون كينيث موير
بن فالكون
جورج لانغ
دانييل شتورم
ليلى كارب
شيلا ميرفي
توماس غيلوفيتش
آدا بالمر
كيفن كارسون
ريتشارد بيركويتز
مايك جودوين
إيمي بندر
لويد خان
كريس إبوخ
رونالد فيربانك
كريستوفر أندرسن
غرانت ماكراكين
دان سيمونس
مكسانس كارون
فرنسيس غافين
ليزا مور
ليزا شانون
إستر وير
فيرونيكا فيرا
دييغو ألفاريز
غاي سيبولد
ويليام ستافورد
ألين شون
سادي دوبويه
سيريل مونتانا
جون هنري باترسون
ديبي شلوسل
مات زولر ستز
إل. سوزان براون
بات كونديل
روب شيفيلد
أوجين سكرايب
جانيت بونير
جيم فرينش
دياني شامبرلين
إيجل راسموسن
ألكسندرا روبنز
ديفيد هاتشر تشايلدريس
دانا ليفين
فرد أ. ريد
والتر روبرتس
جي ماكينرني
ديفيد فريدمان
