Culture,Entity,Entity
Arab,Beverage ,قهوة عربية
Arab,Beverage ,شاي كرك
Arab,Beverage ,نعناع
Arab,Beverage ,زنجبيل
Arab,Beverage ,كركديه
Arab,Beverage ,خروب
Arab,Beverage ,عرقسوس
Arab,Beverage ,سحلب
Arab,Beverage ,زهورات
Arab,Beverage ,تمر هندي
Arab,Beverage ,لبن
Arab,Beverage ,كركريه
Arab,Beverage ,روم
Arab,Beverage ,بابونج
Arab,Beverage ,ينسون
Arab,Beverage ,دقيق
Arab,Beverage ,بلح
Arab,Beverage ,متة
Arab,Beverage ,سفرجل
Arab,Beverage ,جلاب
Arab,Beverage ,كركدية
Arab,Beverage ,موكا
Arab,Beverage ,يانسون
Arab,Beverage ,تين
Arab,Beverage ,سوس
Arab,Beverage ,كركيده
Arab,Beverage ,قنقليس
Arab,Beverage ,مريسه
Arab,Beverage ,زبيب
Arab,Beverage ,زبادي
Arab,Beverage ,نعنع
Arab,Beverage ,كاركدية
Arab,Beverage ,خروب 
Arab,Beverage ,قونقليز
Arab,Beverage ,عرقوس
Arab,Beverage ,كرك
Arab,Beverage ,قمر الدين
Arab,Beverage ,دوم
Arab,Beverage ,سوبيا
Arab,Beverage ,عصير الرمان
Arab,Beverage ,عصير التمر
Arab,Beverage ,قشر
Arab,Beverage ,عرقي
Arab,Beverage ,شاي لومي
Arab,Beverage ,شربت
Arab,Beverage ,دبس
Arab,Beverage ,أتاي
Arab,Beverage ,عيران
Arab,Beverage ,إرك سو
Arab,Beverage ,روزاطه
Arab,Beverage ,رمان
Arab,Beverage ,قهوة تركية
Arab,Beverage ,سوس
Arab,Beverage ,فيمتو
Arab,Clothing,حجاب
Arab,Clothing,نقاب
Arab,Clothing,جلباب
Arab,Clothing,عباءة
Arab,Clothing,برقع
Arab,Clothing,قفطان
Arab,Clothing,لثام
Arab,Clothing,عبائة
Arab,Clothing,فرجية
Arab,Clothing,ايشارب
Arab,Clothing,عباية
Arab,Clothing,منديل
Arab,Clothing,خمار
Arab,Clothing,شادور
Arab,Clothing,عبايه
Arab,Clothing,سويعية
Arab,Clothing,بوشية
Arab,Clothing,جلابة
Arab,Clothing,جمبسوت
Arab,Clothing,شرش
Arab,Clothing,ملاية
Arab,Clothing,جرجار
Arab,Clothing,جرغد
Arab,Clothing,حايك
Arab,Clothing,شيلة
Arab,Clothing,طنطور
Arab,Clothing,طرحة
Arab,Clothing,عصبة
Arab,Clothing,سفساري
Arab,Clothing,حولي
Arab,Clothing,كندورة
Arab,Clothing,دشداشة 
Arab,Clothing,كفتان
Arab,Clothing,دراعة
Arab,Clothing,المحوثــل
Arab,Clothing,شــرش
Arab,Clothing,الجبـة
Arab,Clothing,غترة
Arab,Clothing,قمباز
Arab,Clothing,عمامة
Arab,Clothing,طربوش
Arab,Clothing,ثوب
Arab,Clothing,حطة
Arab,Clothing,بشت
Arab,Clothing,جلابية
Arab,Clothing,جبة
Arab,Food,مقلوبة
Arab,Food,عصيده
Arab,Food,فتة
Arab,Food,كبسة
Arab,Food,كنافة
Arab,Food,هريسة
Arab,Food,فول
Arab,Food,حمص
Arab,Food,تبولة
Arab,Food,مشاكيك
Arab,Food,محموص
Arab,Food,شاورما
Arab,Food,كباب
Arab,Food,كسكس
Arab,Food,إسكالوب
Arab,Food,بركوكس
Arab,Food,كسكسي
Arab,Food,طنجية
Arab,Food,فلافل
Arab,Food,كبدة
Arab,Food,بليلة
Arab,Food,عجة
Arab,Food,كسكسى
Arab,Food,مجدرة
Arab,Food,مشبك
Arab,Food,كواج
Arab,Food,كوسا
Arab,Food,ملوخية
Arab,Food,مسقعة
Arab,Food,مقانق
Arab,Food,مغلي
Arab,Food,كشري
Arab,Food,كشك
Arab,Food,كبة
Arab,Food,بسبوسه
Arab,Food,شاكرية
Arab,Food,مسخن
Arab,Food,ترمس
Arab,Food,صبار
Arab,Food,كوسة
Arab,Food,بقلاوة
Arab,Food,مصابيب
Arab,Food,قراقيش
Arab,Food,بلاليط
Arab,Food,سجق
Arab,Food,عوام
Arab,Food,محشى
Arab,Food,شعثاء
Arab,Food,قطايف
Arab,Food,بسطيلة
Arab,Food,شرشم
Arab,Food,شلولو
Arab,Food,كمونية
Arab,Food,سلق
Arab,Food,قبوات
Arab,Food,قطائف
Arab,Food,طجين
Arab,Food,بنزرتية
Arab,Food,فته
Arab,Food,رغايف
Arab,Food,عرسية
Arab,Food,طاجين
Arab,Food,دبس
Arab,Food,بريك
Arab,Food,كفته
Arab,Food,نمورة
Arab,Food,اقاشي
Arab,Food,مضروبة
Arab,Food,محبشة
Arab,Food,لبنة
Arab,Food,رشوف
Arab,Food,بطبوط
Arab,Food,سلتة
Arab,Food,كبيبة
Arab,Food,نيفة
Arab,Food,سليق
Arab,Food,بوسعادية
Arab,Food,ممبار
Arab,Food,برازق
Arab,Food,شوارما
Arab,Food,عزيزية
Arab,Food,بخاري
Arab,Food,حبية
Arab,Food,زلاطة
Arab,Food,رفيسة
Arab,Food,مهلبيه
Arab,Food,ششبرك
Arab,Food,باسماشكات
Arab,Food,طعميه
Arab,Food,معجوقة
Arab,Food,باطرش
Arab,Food,سفيرية
Arab,Food,بسيمة
Arab,Food,تمرية
Arab,Food,بازين
Arab,Food,طرشانة
Arab,Food,مناقيش
Arab,Food,محاشي
Arab,Food,معصوب
Arab,Food,قراشل
Arab,Food,بريوات
Arab,Food,هريسه
Arab,Food,مموش
Arab,Food,طاووق
Arab,Food,محمرة
Arab,Food,كوسى
Arab,Food,منقوشة
Arab,Food,قريشات
Arab,Food,كروش
Arab,Food,ملووخية
Arab,Food,بسيسة
Arab,Food,كنافه
Arab,Food,بسوبسة
Arab,Food,نموره
Arab,Food,شرمولة
Arab,Food,كبسه
Arab,Food,شاورمة
Arab,Food,دشيشة
Arab,Food,نجفية
Arab,Food,بسطرمة
Arab,Food,جمرية
Arab,Food,مدفونة
Arab,Food,محشوش
Arab,Food,معروك
Arab,Food,زلبية
Arab,Food,لزاقيات
Arab,Food,بولفاف
Arab,Food,مجللة
Arab,Food,حمصيص
Arab,Food,مغمور
Arab,Food,جشيد
Arab,Food,كبه
Arab,Food,بقدونسية
Arab,Food,سحلب
Arab,Food,طعمية
Arab,Food,باميه
Arab,Food,منفوشة
Arab,Food,دوبارة
Arab,Food,حرايمي
Arab,Food,دغابيس
Arab,Food,دليميه
Arab,Food,بسطرما
Arab,Food,صفيحة
Arab,Food,عوامة
Arab,Food,فوارغ
Arab,Food,شخشوخه
Arab,Food,عفوسة
Arab,Food,مطازيز
Arab,Food,مجدرى
Arab,Food,حوواشي
Arab,Food,مفركة
Arab,Food,محنشة
Arab,Food,سنيورة
Arab,Food,مدلوقة
Arab,Food,مخروطة
Arab,Food,مبروشة
Arab,Food,عريكة
Arab,Food,كلاج
Arab,Food,كرابيج
Arab,Food,بوكاديوس
Arab,Food,حماصيص
Arab,Food,طاجبين
Arab,Food,زعلوك
Arab,Food,رطب
Arab,Food,كعك القدس
Arab,Food,كُفتة نيئة
Arab,Food,خبز الصاج
Arab,Food,خبز التنور
Arab,Food,كارنتيكا
Arab,Food,الزعتر
Arab,Food,خبز تنور
Arab,Food,بجاوية 
Arab,Food,شباكية
Arab,Food,قريوش
Arab,Food,كعك الورقة
Arab,Food,مخارق
Arab,Food,وذنين القاضي
