sentiment,term
negative,معزول
negative,مخيف
negative,بائس
negative,مكسور
negative,مشتت
negative,كسول
negative,متسلط
negative,عنيف
negative,عدائي
negative,أناني
negative,موتر
negative,خامل
negative,ساخط
negative,مضطرب
negative,عديم الفائدة
negative,مهلك
negative,محبط
negative,مزيف
negative,سطحي
negative,معقد
positive,شجاع
positive,حالم
positive,محترم
positive,مذهل
positive,متعاون
positive,مشوق
positive,ناجح
positive,مبتكر
positive,محفز
positive,سعيد
positive,حيوي
positive,لامع
positive,منفتح
positive,معروف
positive,مغامر
positive,مريح
positive,منظم
positive,محبوب
positive,واثق
positive,راقي
