sentiment,word
positive,جيد
positive,جميل
positive,إيجابي
positive,متعاون
positive,محبوب
positive,عطوف
positive,فريد
positive,متألق
positive,ناجح
positive,متسامح
positive,مرحب
positive,ممتاز
positive,مبهر
positive,واضح
positive,مطمئن
positive,عبقري
positive,مشوق
positive,قوي
positive,متفوق
positive,متناسق
negative,متوتر
negative,قبيح
negative,عدائي
negative,مزعج
negative,متهور
negative,مبهم
negative,عنيف
negative,ناقص
negative,عديم الفائدة
negative,غامض
negative,منهار
negative,مأساوي
negative,مخيف
negative,غير ملائم
negative,مفرغ
negative,مقلق
negative,فوضوي
negative,معاند
negative,مشين
negative,مرير
